order_id,order_date,ship_mode,segment,city,state,region,category,sub_category,quantity,discount,sale_price,profit
1,2023-03-01,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,2,5.2,254.8,20
2,2023-08-15,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,3,21.9,708.1,130
3,2023-01-10,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,2,0.5,9.5,0
4,2022-06-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,5,19.2,940.8,180
5,2022-07-13,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,2,1,19,0
6,2022-03-13,nul,Consumer,Los Angeles,California,West,Furniture,Furnishings,7,1.5,48.5,0
7,2022-12-28,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,4,0.3,9.7,0
8,2022-01-25,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,6,45.5,864.5,50
9,2023-03-23,nul,Consumer,Los Angeles,California,West,Office Supplies,Binders,3,0.4,19.6,0
10,2023-05-16,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,5,3.3,106.7,20
11,2023-03-31,nul,Consumer,Los Angeles,California,West,Furniture,Tables,9,51.3,1658.7,240
12,2023-12-25,nul,Consumer,Los Angeles,California,West,Technology,Phones,4,27.3,882.7,160
13,2022-02-11,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,3,0.6,19.4,0
14,2023-07-18,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,3,8.2,401.8,50
15,2023-11-09,nul,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,5,3.5,66.5,10
16,2022-06-18,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,3,0,0,0
17,2022-02-04,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,6,20.1,649.9,60
18,2023-08-04,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,2,2.4,57.6,0
19,2022-01-23,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,2,0.4,9.6,0
20,2022-01-11,Second Class,Consumer,San Francisco,California,West,Technology,Phones,3,6.3,203.7,40
21,2022-10-05,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,4,0.4,19.6,0
22,2023-07-16,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,7,0.8,19.2,0
